epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1057.92,0.6108,0.74223,1.03302,0.67028,0.69887,0.73254,0.60224,0.76596,1.0338,0.98858,0.000441047,0.000441047,0.000441047
54,1077.38,0.62034,0.73361,1.03344,0.67095,0.71121,0.7508,0.61758,0.74418,0.92019,0.98405,0.000432048,0.000432048,0.000432048
55,1096.07,0.61331,0.7606,1.03551,0.69201,0.711,0.75134,0.62002,0.75212,1.01518,0.97346,0.000423049,0.000423049,0.000423049
56,1116.14,0.6325,0.73515,1.03938,0.68824,0.73684,0.77289,0.63776,0.75286,0.90536,0.99973,0.000414049,0.000414049,0.000414049
57,1135.05,0.62322,0.73248,1.03792,0.64691,0.7765,0.75866,0.63024,0.74101,0.92074,0.97837,0.00040505,0.00040505,0.00040505
58,1154.79,0.60879,0.71242,1.03881,0.71987,0.6949,0.77104,0.64316,0.73108,0.92608,0.96606,0.000396051,0.000396051,0.000396051
59,1173.77,0.58098,0.72259,1.03751,0.6849,0.69558,0.74579,0.61831,0.72948,0.93294,0.95094,0.000387052,0.000387052,0.000387052
60,1192.23,0.60184,0.70791,1.02881,0.6582,0.77377,0.7578,0.62314,0.77218,0.92826,1.00052,0.000378053,0.000378053,0.000378053
61,1212.32,0.60183,0.70948,1.02707,0.69481,0.76454,0.75776,0.62127,0.77561,0.89834,1.00064,0.000369054,0.000369054,0.000369054
62,1231.07,0.60814,0.70485,1.03213,0.67112,0.75004,0.75628,0.6199,0.74872,0.96022,0.9809,0.000360055,0.000360055,0.000360055
63,1251.1,0.59845,0.71864,1.02305,0.69327,0.78315,0.76475,0.63288,0.74161,0.89642,0.97861,0.000351056,0.000351056,0.000351056
64,1270.43,0.5918,0.69348,1.02811,0.69248,0.76075,0.77353,0.64191,0.75537,0.90634,1.00012,0.000342057,0.000342057,0.000342057
65,1289.34,0.59015,0.693,1.02725,0.63869,0.74083,0.74162,0.61321,0.76508,0.98257,1.01369,0.000333058,0.000333058,0.000333058
66,1309.55,0.59877,0.67241,1.02123,0.65023,0.75693,0.76261,0.62776,0.73009,0.94521,0.96514,0.000324058,0.000324058,0.000324058
67,1328.38,0.61467,0.68768,1.03037,0.67574,0.70306,0.75544,0.62449,0.72734,0.96999,0.98302,0.000315059,0.000315059,0.000315059
68,1348.63,0.57271,0.68106,1.02362,0.69542,0.73783,0.74546,0.61488,0.76009,0.96544,0.9992,0.00030606,0.00030606,0.00030606
69,1368.32,0.57826,0.66471,1.02664,0.74318,0.73748,0.78032,0.63804,0.78232,0.87268,1.01863,0.000297061,0.000297061,0.000297061
70,1387.24,0.59313,0.67389,1.02745,0.68547,0.75741,0.76263,0.63367,0.72448,0.89293,0.95778,0.000288062,0.000288062,0.000288062
71,1407.66,0.56996,0.64887,1.02299,0.69143,0.72328,0.75675,0.62644,0.74192,0.92934,0.97239,0.000279063,0.000279063,0.000279063
72,1426.82,0.58759,0.65548,1.01764,0.70929,0.78528,0.76132,0.63273,0.74123,0.90612,0.98978,0.000270064,0.000270064,0.000270064
73,1447,0.58179,0.66571,1.0265,0.73985,0.73746,0.76379,0.63652,0.72531,0.94498,0.97982,0.000261065,0.000261065,0.000261065
74,1465.82,0.57953,0.65518,1.01736,0.71244,0.72992,0.76637,0.62047,0.77451,0.87667,1.00169,0.000252066,0.000252066,0.000252066
75,1484.81,0.59399,0.65601,1.03446,0.69856,0.75433,0.76753,0.63136,0.74861,0.90385,0.98314,0.000243067,0.000243067,0.000243067
76,1504.66,0.59015,0.63515,1.01949,0.71072,0.70591,0.7629,0.62605,0.75161,0.93338,0.98004,0.000234068,0.000234068,0.000234068
77,1523.27,0.57882,0.63723,1.0159,0.70465,0.77352,0.76418,0.63405,0.71818,0.95171,0.95018,0.000225068,0.000225068,0.000225068
78,1543.69,0.55939,0.62045,1.01005,0.71852,0.73585,0.76951,0.63917,0.71234,0.90706,0.94242,0.000216069,0.000216069,0.000216069
79,1562.22,0.57122,0.62449,1.01823,0.67242,0.78312,0.77411,0.64315,0.72195,0.92391,0.94596,0.00020707,0.00020707,0.00020707
80,1581.36,0.57388,0.63751,1.01388,0.70616,0.7189,0.77028,0.63894,0.72949,0.92948,0.95596,0.000198071,0.000198071,0.000198071
81,1601.12,0.56489,0.61956,1.00879,0.67763,0.73778,0.76586,0.63424,0.72151,0.93677,0.94475,0.000189072,0.000189072,0.000189072
82,1619.93,0.57517,0.61923,1.01918,0.72747,0.73881,0.77017,0.64083,0.7189,0.92413,0.9514,0.000180073,0.000180073,0.000180073
83,1640.3,0.53919,0.61912,1.0061,0.71813,0.73488,0.7585,0.62685,0.71183,0.94914,0.94713,0.000171074,0.000171074,0.000171074
84,1659.36,0.5747,0.61753,1.0103,0.73676,0.70453,0.76133,0.62916,0.73909,0.98995,0.97803,0.000162075,0.000162075,0.000162075
